Panjang HURI;HURI;Diagnosis;Utilitas;Support
1;BMI_Obesitas_II;tidak berpotensi memiliki penyakit kardiovaskular;37473,65;5520
1;Umur lebih dari 60 tahun;berpotensi memiliki penyakit kardiovaskular;50309,99;5257
1;BMI_Normal;tidak berpotensi memiliki penyakit kardiovaskular;42721,32;5239
1;Tidak aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;42953,76;5090
1;Kolestrol jauh diatas normal;berpotensi memiliki penyakit kardiovaskular;46373,32;5024
1;BMI_Overweight;berpotensi memiliki penyakit kardiovaskular;47559,56;4993
1;Umur sekitar 55-63 tahun;tidak berpotensi memiliki penyakit kardiovaskular;45957,87;4889
1;Kolestrol diatas normal;berpotensi memiliki penyakit kardiovaskular;43015,23;4576
1;Umur sekitar 46-53 tahun;berpotensi memiliki penyakit kardiovaskular;36426,99;4525
1;Umur sekitar 41-48 tahun;tidak berpotensi memiliki penyakit kardiovaskular;30799,66;4011
1;Umur sekitar 36-43 tahun;tidak berpotensi memiliki penyakit kardiovaskular;28550,92;3515
1;Kolestrol diatas normal;tidak berpotensi memiliki penyakit kardiovaskular;26175,81;3017
1;Glukosa jauh diatas normal;berpotensi memiliki penyakit kardiovaskular;31084,75;2654
1;Perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;26839,17;2603
2;Umur sekitar 51-58 tahun, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;31448,55;229
2;Umur sekitar 51-58 tahun, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;38573,04;225
2;Umur sekitar 51-58 tahun, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;37333,02;215
2;Umur sekitar 55-63 tahun, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;33015;215
2;Umur sekitar 55-63 tahun, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;28505,21;214
2;Umur sekitar 51-58 tahun, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;39260,65;212
2;Umur sekitar 55-63 tahun, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;33284,08;207
2;Umur sekitar 55-63 tahun, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;33281,89;202
2;Umur sekitar 55-63 tahun, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;27250,04;188
2;Umur sekitar 51-58 tahun, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;38316,68;176
2;Umur sekitar 55-63 tahun, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;32336,04;165
2;Umur sekitar 51-58 tahun, Perempuan;berpotensi memiliki penyakit kardiovaskular;38488,9;159
2;Umur sekitar 55-63 tahun, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;30103,56;155
2;Umur sekitar 55-63 tahun, Perempuan;berpotensi memiliki penyakit kardiovaskular;30406,94;144
2;Umur sekitar 55-63 tahun, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;28032,42;143
2;Umur sekitar 51-58 tahun, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;37120,56;139
2;Umur sekitar 55-63 tahun, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;32840,04;130
2;Umur sekitar 51-58 tahun, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;30504,88;111
2;Umur sekitar 51-58 tahun, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;35881,88;106
2;Umur sekitar 51-58 tahun, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;40587,21;105
2;Umur sekitar 51-58 tahun, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;43763,57;104
2;Umur sekitar 51-58 tahun, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;46830,48;95
2;Hipertensi tingkat 1, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;28813,34;92
2;Umur sekitar 51-58 tahun, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;44022,21;91
2;BMI_Overweight, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;26776,32;91
2;BMI_Overweight, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;28910;90
2;Hipertensi tingkat 1, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;38520,21;89
2;Hipertensi tingkat 1, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;37796,58;89
2;Hipertensi tingkat 1, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;35047,05;87
2;Umur sekitar 51-58 tahun, BMI_Obesitas;tidak berpotensi memiliki penyakit kardiovaskular;25950,6;83
2;Hipertensi tingkat 1, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;34891,04;80
2;Umur sekitar 51-58 tahun, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;43618,43;79
2;BMI_Overweight, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;30627,86;77
2;Hipertensi tingkat 1, Perempuan;berpotensi memiliki penyakit kardiovaskular;35629,28;76
2;Laki-Laki, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;35266,88;64
2;BMI_Obesitas, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;32267,88;62
2;Laki-Laki, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;31071,66;62
2;BMI_Obesitas, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;30734,84;62
2;Laki-Laki, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;29787;62
2;BMI_Obesitas, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;37912,44;61
2;Laki-Laki, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;31507;60
2;BMI_Obesitas, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;30656,76;60
2;BMI_Overweight, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;26371,02;60
2;BMI_Obesitas, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;38102,52;59
2;BMI_Obesitas, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;34799,95;57
2;BMI_Obesitas, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;33174,76;55
2;BMI_Obesitas, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;43350,7;54
2;BMI_Obesitas, Perempuan;berpotensi memiliki penyakit kardiovaskular;30309,5;54
