Panjang HURI;HURI;Diagnosis;Utilitas;Support
1;BMI_Obesitas_II;tidak berpotensi memiliki penyakit kardiovaskular;42082,36;6200
1;Umur lebih dari 60 tahun;berpotensi memiliki penyakit kardiovaskular;56763,31;5933
1;BMI_Normal;tidak berpotensi memiliki penyakit kardiovaskular;47827,59;5865
1;Tidak aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;48290,28;5733
1;BMI_Overweight;berpotensi memiliki penyakit kardiovaskular;53471,96;5619
1;Kolestrol jauh diatas normal;berpotensi memiliki penyakit kardiovaskular;51797,13;5614
1;Umur sekitar 55-63 tahun;tidak berpotensi memiliki penyakit kardiovaskular;50776,29;5486
1;Kolestrol diatas normal;berpotensi memiliki penyakit kardiovaskular;48595,63;5169
1;Umur sekitar 46-53 tahun;berpotensi memiliki penyakit kardiovaskular;40983,75;5090
1;Umur sekitar 41-48 tahun;tidak berpotensi memiliki penyakit kardiovaskular;34684,05;4516
1;Umur sekitar 36-43 tahun;tidak berpotensi memiliki penyakit kardiovaskular;32145,07;3957
1;Kolestrol diatas normal;tidak berpotensi memiliki penyakit kardiovaskular;29485,58;3399
1;BMI_Normal;berpotensi memiliki penyakit kardiovaskular;31874,24;3225
1;Glukosa jauh diatas normal;berpotensi memiliki penyakit kardiovaskular;35145,52;2997
1;Perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;30245,9;2936
1;Glukosa diatas normal;berpotensi memiliki penyakit kardiovaskular;31766,86;2760
1;Umur sekitar 41-48 tahun;berpotensi memiliki penyakit kardiovaskular;23931,47;2699
1;Perokok aktif;berpotensi memiliki penyakit kardiovaskular;31480,07;2659
1;Umur lebih dari 60 tahun;tidak berpotensi memiliki penyakit kardiovaskular;25707,94;2580
1;Hipertensi tingkat 2;berpotensi memiliki penyakit kardiovaskular;24572,04;2113
1;Hipertensi tingkat 1;tidak berpotensi memiliki penyakit kardiovaskular;22424,68;2078
1;Glukosa diatas normal;tidak berpotensi memiliki penyakit kardiovaskular;21583,75;1887
1;Glukosa jauh diatas normal;tidak berpotensi memiliki penyakit kardiovaskular;20006,92;1794
1;Peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;19794,95;1775
1;Kolestrol jauh diatas normal;tidak berpotensi memiliki penyakit kardiovaskular;19133,06;1681
1;Peminum alkohol;berpotensi memiliki penyakit kardiovaskular;19636,02;1621
2;Tidak aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;19483;296
2;BMI_Overweight, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;21133,88;286
2;Tidak aktif berkegiatan fisik, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;20970;279
2;Tidak aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;23165;262
2;Umur sekitar 46-53 tahun, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;26184,4;250
2;Umur sekitar 46-53 tahun, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;22845;244
2;Tidak aktif berkegiatan fisik, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;21716;239
2;Tekanan darah normal, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;23379;238
2;Umur sekitar 51-58 tahun, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;35244,58;234
